arquivo,estacao,uf,latitude,longitude
INMET_S_RS_A879_CANELA_01-01-2024_A_31-12-2024.CSV,CANELA,RS,-29.36888888,-50.82722221
INMET_S_RS_A880_VACARIA_01-01-2024_A_31-12-2024.CSV,VACARIA,RS,-28.51361111,-50.88277777
INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2024_A_31-12-2024.CSV,CACAPAVA DO SUL,RS,-30.54527777,-53.46694443
INMET_S_RS_A894_SERAFINA CORREA_01-01-2024_A_31-12-2024.CSV,SERAFINA CORREA,RS,-28.70472222,-51.87083332
INMET_S_RS_A805_SANTO AUGUSTO_01-01-2024_A_31-12-2024.CSV,SANTO AUGUSTO,RS,-27.85444444,-53.7911111
INMET_S_RS_A840_BENTO GONCALVES_01-01-2024_A_31-12-2024.CSV,BENTO GONCALVES,RS,-29.164581,-51.534202
INMET_S_RS_A802_RIO GRANDE_01-01-2024_A_31-12-2024.CSV,RIO GRANDE,RS,-32.07888888,-52.16777777
INMET_S_RS_A889_SAO VICENTE DO SUL_01-01-2024_A_31-12-2024.CSV,SAO VICENTE DO SUL,RS,-29.70222222,-54.69444444
INMET_S_RS_A881_DOM PEDRITO_01-01-2024_A_31-12-2024.CSV,DOM PEDRITO,RS,-31.0025,-54.61805554
INMET_S_RS_A813_RIO PARDO_01-01-2024_A_31-12-2024.CSV,RIO PARDO,RS,-29.87222221,-52.38194443
INMET_S_RS_A837_SOLEDADE_01-01-2024_A_31-12-2024.CSV,SOLEDADE,RS,-28.859211,-52.542387
INMET_S_RS_A844_LAGOA VERMELHA_01-01-2024_A_31-12-2024.CSV,LAGOA VERMELHA,RS,-28.222381,-51.512845
INMET_S_RS_A836_JAGUARAO_01-01-2024_A_31-12-2024.CSV,JAGUARAO,RS,-32.53472221,-53.37583332
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024.CSV,SANTA MARIA,RS,-29.72499999,-53.72055554
INMET_S_RS_A804_SANTANA DO LIVRAMENTO_01-01-2024_A_31-12-2024.CSV,SANTANA DO LIVRAMENTO,RS,-30.75055555,-55.40138888
INMET_S_RS_A883_IBIRUBA_01-01-2024_A_31-12-2024.CSV,IBIRUBA,RS,-28.65333333,-53.11194444
INMET_S_RS_A899_Santa Vitoria do Palmar - Barra do Chui_01-01-2024_A_31-12-2024.CSV,Santa Vitoria do Palmar - Barra do Chui,RS,-33.74222221,-53.37222221
INMET_S_RS_A878_MOSTARDAS_01-01-2024_A_31-12-2024.CSV,MOSTARDAS,RS,-31.24833333,-50.90638888
INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2024_A_31-12-2024.CSV,PALMEIRA DAS MISSOES,RS,-27.92027777,-53.31805554
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024.CSV,SANTIAGO,RS,-29.191599,-54.885653
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024.CSV,ENCRUZILHADA DO SUL,RS,-30.54305555,-52.52472221
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024.CSV,QUARAI,RS,-30.368578,-56.437115
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024.CSV,PORTO ALEGRE- BELEM NOVO,RS,-30.1861111,-51.17805554
INMET_S_RS_A828_ERECHIM_01-01-2024_A_31-12-2024.CSV,ERECHIM,RS,-27.65777777,-52.30583333
INMET_S_RS_A854_FREDERICO WESTPHALEN_01-01-2024_A_31-12-2024.CSV,FREDERICO WESTPHALEN,RS,-27.39555555,-53.42944443
INMET_S_RS_A830_SAO BORJA_01-01-2024_A_31-12-2024.CSV,SAO BORJA,RS,-28.65,-56.01638888
INMET_S_RS_A801_PORTO ALEGRE - JARDIM BOTANICO_01-01-2024_A_31-12-2024.CSV,PORTO ALEGRE - JARDIM BOTANICO,RS,-30.05361111,-51.17472221
INMET_S_RS_A838_CAMAQUA_01-01-2024_A_31-12-2024.CSV,CAMAQUA,RS,-30.80805555,-51.83416666
INMET_S_RS_A834_TRAMANDAI_01-01-2024_A_31-12-2024.CSV,TRAMANDAI,RS,-30.01027777,-50.13583333
INMET_S_RS_A809_URUGUAIANA_01-01-2024_A_31-12-2024.CSV,URUGUAIANA,RS,-29.83999999,-57.08194443
INMET_S_RS_A887_CAPAO DO LEAO (PELOTAS)_01-01-2024_A_31-12-2024.CSV,CAPAO DO LEAO (PELOTAS),RS,-31.8025,-52.40722222
INMET_S_RS_A829_SAO JOSE DOS AUSENTES_01-01-2024_A_31-12-2024.CSV,SAO JOSE DOS AUSENTES,RS,-28.7486111,-50.05777777
INMET_S_RS_A853_CRUZ ALTA_01-01-2024_A_31-12-2024.CSV,CRUZ ALTA,RS,-28.60344,-53.673597
INMET_S_RS_A832_SAO GABRIEL_01-01-2024_A_31-12-2024.CSV,SAO GABRIEL,RS,-30.34138888,-54.31083333
INMET_S_RS_A882_TEUTONIA_01-01-2024_A_31-12-2024.CSV,TEUTONIA,RS,-29.44916666,-51.82333332
INMET_S_RS_A811_CANGUCU_01-01-2024_A_31-12-2024.CSV,CANGUCU,RS,-31.40333333,-52.70083333
INMET_S_RS_A852_SAO LUIZ GONZAGA_01-01-2024_A_31-12-2024.CSV,SAO LUIZ GONZAGA,RS,-28.41722221,-54.9625
INMET_S_RS_A827_BAGE_01-01-2024_A_31-12-2024.CSV,BAGE,RS,-31.34777777,-54.01333333
INMET_S_RS_A886_TUPANCIRETA_01-01-2024_A_31-12-2024.CSV,TUPANCIRETA,RS,-29.08944444,-53.82666666
INMET_S_RS_A897_CAMBARA DO SUL_01-01-2024_A_31-12-2024.CSV,CAMBARA DO SUL,RS,-29.04916666,-50.14972221
INMET_S_RS_A839_PASSO FUNDO_01-01-2024_A_31-12-2024.CSV,PASSO FUNDO,RS,-28.22666666,-52.40361111
INMET_S_RS_A826_ALEGRETE_01-01-2024_A_31-12-2024.CSV,ALEGRETE,RS,-29.70916666,-55.52555554
INMET_S_RS_A810_SANTA ROSA_01-01-2024_A_31-12-2024.CSV,SANTA ROSA,RS,-27.89055555,-54.47999999
INMET_S_RS_A884_CAMPO BOM_01-01-2024_A_31-12-2024.CSV,CAMPO BOM,RS,-29.674293,-51.064042
