municipality,state,total_eventos,total_afetados,populacao_total,percentual_afetados
Francisco Morato,SP,2,8,154538,0.005176720288860992
Franciscópolis,MG,1,5034,5803,86.7482336722385
Frederico Westphalen,RS,2,32797,28848,113.68899057127011
Frutal,MG,2,60908,53474,113.90208325541384
Fundão,ES,1,15,17028,0.08809020436927414
Galiléia,MG,2,2934,6966,42.11886304909561
Gandu,BA,1,421,30329,1.3881103893962874
Garibaldi,RS,1,31517,30692,102.68799687214909
Garopaba,SC,1,29020,18144,159.9426807760141
Garruchos,RS,2,2688,3233,83.14259201979586
Garuva,SC,1,0,14762,0.0
Gaurama,RS,1,5665,5862,96.63937222790857
General Carneiro,PR,1,4371,13667,31.982146776907882
General Câmara,RS,1,701,8452,8.293894936109798
Gentil,RS,2,2344,1677,139.77340488968395
Getúlio Vargas,RS,2,16165,16156,100.0557068581332
Giruá,RS,1,1890,17085,11.06233538191396
Glaucilândia,MG,2,3084,2964,104.0485829959514
Glorinha,RS,2,2000,6885,29.048656499636895
Goianinha,RN,1,0,22467,0.0
Goianésia Do Pará,PA,1,7112,30437,23.366297598317836
Goiânia,GO,1,15,1301892,0.001152169304366261
Gonçalves,MG,1,315,4220,7.464454976303317
Gouveia,MG,1,489,11687,4.184136219731325
Governador Nunes Freire,MA,1,600,25402,2.3620187386819933
Governador Valadares,MG,1,241430,263594,91.591614376655
Grajaú,MA,1,1578,61903,2.549149475792772
Gramado,RS,2,1284,32300,3.975232198142415
Gramado Dos Loureiros,RS,1,2269,2269,100.0
Gramado Xavier,RS,3,3304,3970,83.22418136020151
Gravataí,RS,4,284103,255762,111.081004996833
Grupo De Municípios,AC,3,208855,0,inf
Grupo De Municípios,AP,1,2101,0,inf
Grupo De Municípios,BA,1,103042,0,inf
Grupo De Municípios,ES,1,19610,0,inf
Grupo De Municípios,RS,1,46081,0,inf
Grão Mogol,MG,2,1430,15026,9.51683748169839
Guabiju,RS,1,1598,1598,100.0
Guajará,AM,1,5775,14074,41.03311070058264
Guanhães,MG,1,0,31266,0.0
Guapimirim,RJ,1,3598,51487,6.988171771515139
Guaporé,RS,3,71588,22810,313.84480491012715
Guaraciaba,SC,1,0,10498,0.0
Guarani Das Missões,RS,2,14830,8115,182.74799753542823
Guaranésia,MG,2,4339,18714,23.185850165651384
Guaratinguetá,SP,2,7055,112091,6.293993273322568
Guaratuba,PR,1,3744,32088,11.667913238593867
Guariba,SP,1,10077,35491,28.393113747147165
Guarinos,GO,2,522,2306,22.63660017346054
Guatambú,SC,1,4,4675,0.0855614973262032
Guaçuí,ES,2,1009,27853,3.622590026209026
Guaíba,RS,1,59870,95230,62.8688438517274
Harmonia,RS,2,223,4254,5.242125058768218
Herval,RS,2,6210,6757,91.90469143110847
Herveiras,RS,1,2526,2954,85.51117129316181
Horizontina,RS,2,37739,18350,205.66212534059946
Hulha Negra,RS,5,12284,6048,203.10846560846562
Humaitá,RS,2,4933,4919,100.28461069323033
Iaciara,GO,1,605,12438,4.864126065283807
Ibarama,RS,1,3736,4371,85.47243193777167
Ibatiba,ES,1,900,22346,4.027566454846505
Ibiara,PB,1,2345,6031,38.88244072293152
Ibiaçá,RS,2,2500,4710,53.07855626326964
Ibiaí,MG,1,110,7839,1.4032402092103584
Ibicuí,BA,1,350,15786,2.2171544406436086
Ibiraiaras,RS,1,7175,7175,100.0
Ibirama,SC,3,14857,17342,85.67062622534887
Ibirapuitã,RS,1,1670,4061,41.12287613888205
Ibirubá,RS,2,200,19312,1.035625517812759
Iconha,ES,2,0,12514,0.0
Ielmo Marinho,RN,1,0,12188,0.0
Igrejinha,RS,3,31663,31663,100.0
Iguatemi,MS,3,0,14887,0.0
Iguaí,BA,1,851,25724,3.3081946820090193
Ijuí,RS,1,84041,78920,106.48884946781551
Ilhéus,BA,2,18841,184231,10.22683478893346
Ilópolis,RS,1,32,4098,0.7808687164470474
Imbituba,SC,2,690,40200,1.7164179104477613
Imigrante,RS,1,3025,3025,100.0
Indaial,SC,3,0,54794,0.0
Independência,RS,1,1800,6618,27.198549410698096
Inhacorá,RS,2,4534,2267,200.0
Inhapim,MG,1,14212,24269,58.560303267542956
Inocência,MS,1,0,7686,0.0
Ipanguaçu,RN,4,5940,13855,42.87260916636593
Ipatinga,MG,3,0,239177,0.0
Ipira,SC,1,884,4752,18.602693602693606
Ipiranga,PR,1,7033,14153,49.69264466897478
Ipiranga Do Sul,RS,1,1720,1944,88.47736625514403
Ipixuna Do Pará,PA,1,12774,51383,24.86036237666154
Ipojuca,PE,22,96,80542,0.11919247100891461
Ipuaçu,SC,3,50,6802,0.7350779182593354
Ipê,RS,1,6017,6017,100.0
Irauçuba,CE,1,3,22347,0.013424620754463686
Iraí,RS,1,8078,8078,100.0
Irineópolis,SC,1,4,10450,0.03827751196172249
Irituia,PA,2,4474,31382,14.25658020521318
Irupi,ES,3,31,11729,0.2643021570466365
Itaara,RS,2,562,5011,11.215326282179205
Itaberaí,GO,1,28,35412,0.07906924206483677
Itabirinha,MG,5,1463,10692,13.68312757201646
Itacarambi,MG,1,65,17739,0.3664242629235019
Itacoatiara,AM,1,3738,86840,4.304467987102718
Itacurubi,RS,2,3007,3441,87.38738738738738
Itaguaçu,ES,1,0,14134,0.0
Itainópolis,PI,1,2617,11099,23.5787007838544
Itaipulândia,PR,1,400,9027,4.431150991470034
Itaiópolis,SC,1,1,20315,0.0049224710804824014
Itajaí,SC,1,20,183388,0.010905838986193208
Itaju Do Colônia,BA,1,3654,7278,50.206100577081614
Itajubá,MG,1,4005,90679,4.416678613570948
Italva,RJ,2,390,14027,2.7803521779425395
Itamari,BA,1,338,7904,4.276315789473684
Itambacuri,MG,2,11812,22797,51.8138351537483
Itanhangá,MT,2,0,5260,0.0
Itaocara,RJ,1,0,22902,0.0
Itapecerica Da Serra,SP,1,338,152380,0.2218138863367896
Itaperuna,RJ,1,12849,95876,13.401685510451
Itapoá,SC,3,451,14775,3.0524534686971236
Itapuca,RS,2,1518,2337,64.95507060333762
Itaqui,RS,2,2037,38166,5.337211130325421
Itarana,ES,1,2830,10881,26.00863891186472
Itati,RS,1,2282,2589,88.14213982232523
Itatiba Do Sul,RS,1,4171,4171,100.0
Itaíba,PE,1,17,26264,0.06472738349070972
Itiúba,BA,1,27093,36112,75.02492246344706
Itororó,BA,1,12054,19911,60.539400331475065
Itueta,MG,1,420,5836,7.196710075394106
Itumirim,MG,1,32,6139,0.5212575338002932
Ituporanga,SC,1,16,22255,0.07189395641428892
Ivaí,PR,1,502,12806,3.9200374824301107
Ivinhema,MS,3,6,22355,0.026839633191679712
Ivorá,RS,2,218,2156,10.111317254174397
Ivoti,RS,1,716,19877,3.602153242441012
Içara,SC,2,6002,58859,10.19725105761226
Jaboatão Dos Guararapes,PE,1,0,644699,0.0
Jaboticaba,RS,1,4111,4111,100.0
Jacinto Machado,SC,2,3834,10608,36.14253393665158
Jacobina,BA,2,139,79285,0.1753168947467995
Jacuizinho,RS,1,2045,2507,81.57159952134025
Jacutinga,RS,1,3630,3630,100.0
Jaguaraçu,MG,1,500,2982,16.76727028839705
Jaguari,RS,2,12284,11478,107.02212929081722
Jaguaruna,SC,2,200,17291,1.156671100572552
Jaguarão,RS,4,40006,27942,143.1751485219383
Jampruca,MG,1,4296,5068,84.76716653512234
Januária,MG,1,0,65464,0.0
Japeri,RJ,4,124327,95391,130.33409860469015
Jaquirana,RS,1,4177,4177,100.0
Jaraguari,MS,1,50,6341,0.7885191610156127
Jaraguá Do Sul,SC,2,20,143206,0.013965895283717163
Jardim De Angicos,RN,1,61,2607,2.339854238588416
Jari,RS,2,3349,3575,93.67832167832168
Jataúba,PE,2,4,15810,0.025300442757748263
Jenipapo Dos Vieiras,MA,1,6201,15397,40.274079366110286
Jequitinhonha,MG,1,0,24179,0.0
Jequiá Da Praia,AL,1,962,12035,7.993352721229746
Jequié,BA,1,2600,151921,1.711415801633744
Jeremoabo,BA,1,5000,37661,13.276333607710894
Jerônimo Monteiro,ES,1,1260,10888,11.572373254959588
Jesuítas,PR,1,69,9001,0.7665814909454505
Ji-Paraná,RO,2,60,116587,0.051463713793133026
Joaquim Nabuco,PE,1,500,15774,3.1697730442500314
Joaçaba,SC,1,12,27005,0.04443621551564525
Joinville,SC,5,36587,515250,7.100824842309558
Jordão,AC,3,19000,6531,290.92022661154493
Juatuba,MG,1,119,22221,0.5355294541199765
Juazeiro,BA,1,3500,197984,1.7678196217876192
Jucurutu,RN,1,0,17692,0.0
Juiz De Fora,MG,17,600534,517872,115.96185930114005
Jupiá,SC,2,0,2148,0.0
Juramento,MG,2,179,4110,4.355231143552311
Juruti,PA,3,9202,47123,19.527619209303314
Juti,MS,3,0,5900,0.0
Jóia,RS,1,8329,8329,100.0
Júlio De Castilhos,RS,2,19596,19579,100.0868277235814
Ladainha,MG,1,250,16999,1.470674745573269
Ladário,MS,1,100,19653,0.5088281687274208
Lages,SC,2,6112,156737,3.8995259574956775
Lago Da Pedra,MA,1,840,46108,1.8218096642665045
Lagoa Bonita Do Sul,RS,2,4502,2662,169.12096168294514
Lagoa De Pedras,RN,2,760,6992,10.869565217391305
Lagoa Dos Três Cantos,RS,2,1893,1598,118.46057571964957
Lagoa Grande Do Maranhão,MA,1,1635,10536,15.518223234624145
Lagoa Real,BA,2,990,13934,7.1049232094158175
Lagoa Vermelha,RS,4,55070,27529,200.04359039558284
Lagoão,RS,2,7023,6185,113.54890864995959
Laguna,SC,1,0,51554,0.0
Laguna Carapã,MS,1,20,6493,0.30802402587401817
Lajeado,RS,7,143556,71481,200.83099005330087
Lajeado Do Bugre,RS,1,2487,2487,100.0
Lajes,RN,1,685,10385,6.596051998074145
Laranjal,MG,2,1565,6465,24.207269914926528
Lauro Muller,SC,1,950,14366,6.6128358624530135
Lavras,MG,6,0,92171,0.0
Lavras Do Sul,RS,1,310,7669,4.0422480114747685
Leandro Ferreira,MG,1,0,3205,0.0
Lençóis,BA,1,56,10368,0.5401234567901234
Leoberto Leal,SC,2,1000,3365,29.71768202080238
Leopoldina,MG,1,51,51136,0.09973404255319149
Liberato Salzano,RS,1,5780,5780,100.0
Lidianópolis,PR,1,283,3972,7.124874118831823
Lima Duarte,MG,1,8918,16166,55.1651614499567
Lindolfo Collor,RS,1,401,5229,7.6687703193727295
Lindóia Do Sul,SC,1,3008,4642,64.79965532098232
Linha Nova,RS,1,35,1624,2.1551724137931036
Linhares,ES,13,2,141254,0.0014158891075650955
Londrina,PR,4,279,506645,0.05506814436143651
Lontras,SC,1,0,10248,0.0
Luiz Alves,SC,1,0,10449,0.0
Luminárias,MG,1,0,5425,0.0
Luziânia,GO,3,32002,174546,18.33442187159832
Luís Eduardo Magalhães,BA,1,253,60179,0.4204124362319081
Macapá,AP,3,2754,397913,0.6921110896100404
Machacalis,MG,1,659,6974,9.449383424146832
Machadinho,RS,1,2127,5515,38.5675430643699
Macuco,RJ,2,900,5269,17.08104004554944
Mafra,SC,7,0,52920,0.0
Magalhães Barata,PA,1,1939,8115,23.894023413431917
Magé,RJ,6,7853,228150,3.4420337497260576
Maiquinique,BA,3,9000,8782,102.48235026189934
Malacacheta,MG,1,1194,18787,6.355458561771438
Mampituba,RS,1,3131,2997,104.47113780447114
Manacapuru,AM,2,3830,85144,4.498261768298413
Manari,PE,1,0,18187,0.0
Manga,MG,1,50,19846,0.2519399375188955
Manhuaçu,MG,5,10213,79635,12.824762981101276
Manoel Urbano,AC,4,3203,7989,40.09262736262361
Manoel Viana,RS,1,440,7074,6.2199604184337005
Mantenópolis,ES,1,15,13600,0.11029411764705882
Maquiné,RS,2,3252,6908,47.075854082223515
Maracaju,MS,1,40,37407,0.10693185767369745
Maracajá,SC,1,0,6409,0.0
Maracanã,PA,4,3640,28376,12.827741753594587
Maratá,RS,1,1928,2527,76.29600316580925
Marau,RS,1,9354,36383,25.70980952642718
Maravilha,SC,1,0,22104,0.0
Marcelino Ramos,RS,3,8652,5134,168.52356836774445
Marechal Floriano,ES,1,0,14249,0.0
Marechal Thaumaturgo,AC,1,8192,14200,57.690140845070424
Mariana Pimentel,RS,1,282,3768,7.484076433121019
Mariano Moro,RS,1,1858,2210,84.07239819004525
Maripá De Minas,MG,1,511,2788,18.32855093256815
Marliéria,MG,1,0,4021,0.0
Marques De Souza,RS,1,4068,4068,100.0
Martins Soares,MG,1,70,7173,0.9758817788930712
Massapê,CE,1,10,35201,0.028408283855572286
Massapê Do Piauí,PI,1,1930,6222,31.018964963034396
Massaranduba,SC,1,0,14668,0.0
Mata,RS,3,15333,5111,300.0
Materlândia,MG,1,315,4595,6.855277475516866
Matinhos,PR,1,6814,29426,23.156392306123834
Mato Castelhano,RS,2,1559,2470,63.11740890688259
Mato Leitão,RS,1,48,3869,1.2406306539157406
Mato Queimado,RS,1,1799,1799,100.0
Matos Costa,SC,1,0,2838,0.0
Matões Do Norte,MA,1,630,13796,4.56654102638446
Maximiliano De Almeida,RS,2,8382,4907,170.81719991848382
Mazagão,AP,1,1219,17030,7.157956547269524
Maçambará,RS,1,3430,4742,72.33234921973852
Medeiros Neto,BA,2,1346,21541,6.248549278120793
Mendes,RJ,2,22129,17940,123.35005574136008
Mendes Pimentel,MG,2,1792,6329,28.314109653973773
Mesquita,MG,1,132,6072,2.1739130434782608
Mesquita,RJ,2,50023,168403,29.704340183963467
Miguel Pereira,RJ,1,1565,24647,6.3496571590862985
Milagres,BA,1,11071,10306,107.42286046962934
Mimoso Do Sul,ES,6,13144,25898,50.752953896053754
Minas Do Leão,RS,2,474,7631,6.211505700432447
Ministro Andreazza,RO,1,6466,10354,62.44929495847016
Miraguaí,RS,2,9710,4855,200.0
Miraí,MG,1,1000,13800,7.246376811594203
Missão Velha,CE,1,1,34258,0.0029190262128553916
Mojuí Dos Campos,PA,1,3664,0,inf
Mongaguá,SP,1,61951,46310,133.7745627294321
Montanha,ES,1,0,17854,0.0
Montauri,RS,1,0,1542,0.0
Monte Alegre,PA,2,8935,55459,16.11100091959826
Monte Alegre Dos Campos,RS,2,278,3098,8.973531310522919
Monte Azul,MG,1,9596,22000,43.61818181818182
Monte Belo Do Sul,RS,1,216,2670,8.089887640449438
Monte Mor,SP,1,5400,48971,11.026934308059873
Monte Santo,BA,1,500,52360,0.9549274255156608
Monte Santo De Minas,MG,1,15,21246,0.07060152499293985
Monteiro Lobato,SP,1,1051,4123,25.49114722289595
Montenegro,RS,1,11263,59436,18.949794737196314
Monção,MA,2,3050,31748,9.60690437192894
Mormaço,RS,1,2756,2749,100.25463805020007
Morretes,PR,1,1137,15718,7.233744751240616
Morrinhos,GO,2,0,41457,0.0
Morrinhos Do Sul,RS,1,3185,3185,100.0
Morro Redondo,RS,2,2500,6231,40.121970791205264
Morro Reuter,RS,1,1540,5680,27.11267605633803
Mostardas,RS,3,0,12130,0.0
Muaná,PA,1,6800,34237,19.86155329029997
Mucugê,BA,2,1,10548,0.009480470231323474
Muitos Capões,RS,1,2879,2977,96.70809539805173
Muliterno,RS,1,23,1813,1.26861555432984
Mundo Novo,MS,1,30,17035,0.1761080129145876
Muniz Freire,ES,2,23128,18387,125.78452167292109
Muqui,ES,2,21,14396,0.14587385384829119
Muquém Do São Francisco,BA,2,3600,10272,35.046728971962615
Mutum,MG,1,5020,26672,18.82123575284943
Mutuípe,BA,1,46,21466,0.21429236932824
Muçum,RS,1,4791,4791,100.0
Mâncio Lima,AC,1,4420,15246,28.991210809392626
Nanuque,MG,1,10013,40816,24.53204625637005
Nepomuceno,MG,1,6508,25721,25.30228218187473
Nicolau Vergueiro,RS,2,1400,1721,81.34805345729227
Nilópolis,RJ,3,1586,157483,1.0070928290672643
Nioaque,MS,15,0,14396,0.0
Nonoai,RS,2,12076,12076,100.0
Nordestina,BA,1,9000,12398,72.59235360542023
Nova Alvorada,RS,1,125,3177,3.9345294302801386
Nova Bassano,RS,1,9649,8840,109.15158371040722
Nova Belém,MG,3,3374,3732,90.40728831725616
Nova Boa Vista,RS,1,2042,1960,104.18367346938776
Nova Bréscia,RS,1,3034,3184,95.28894472361809
Nova Canaã,BA,1,8560,16727,51.17474741436002
Nova Candelária,RS,1,3000,2751,109.05125408942202
Nova Cruz,RN,2,2720,35541,7.653133001322416
Nova Esperança Do Sul,RS,1,4671,4671,100.0
Nova Friburgo,RJ,1,1017,182016,0.558742088607595
Nova Hartz,RS,1,232,18346,1.2645808350594134
Nova Iguaçu,RJ,2,182717,795212,22.977143202064354
Nova Ipixuna,PA,1,9,14645,0.06145442130419938
Nova Palma,RS,4,19035,6345,300.0
Nova Petrópolis,RS,1,22238,19058,116.68590618113129
Nova Porteirinha,MG,1,106,7398,1.4328196809948635
Nova Prata,RS,1,8595,22830,37.64783180026281
Nova Pádua,RS,1,72,2445,2.9447852760736195
Nova Ramada,RS,1,2437,2437,100.0
Nova Roma Do Sul,RS,1,3466,3347,103.5554227666567
Nova Santa Rita,RS,2,10950,22706,48.22513872985114
Nova Trento,SC,2,0,12179,0.0
Novo Barreiro,RS,2,4272,3978,107.39064856711916
Novo Cabrais,RS,1,60,3855,1.556420233463035
Novo Gama,GO,2,0,95013,0.0
Novo Hamburgo,RS,1,20981,239051,8.77678821674036
Novo Horizonte,SP,1,0,36612,0.0
Novo Machado,RS,1,3198,3927,81.43621084797556
Novo Oriente De Minas,MG,3,5275,10342,51.005608199574546
Novo Tiradentes,RS,2,4292,2277,188.49363197189285
Novo Xingu,RS,1,1646,1757,93.68241320432556
Não-Me-Toque,RS,2,3627,15938,22.75693311582382
Nísia Floresta,RN,1,1860,23818,7.809219917709295
Oeiras Do Pará,PA,1,13359,28595,46.71795768490995
Olímpio Noronha,MG,1,0,2533,0.0
Oratórios,MG,2,0,4486,0.0
Oriximiná,PA,17,7889,62963,12.529580864952433
Orleans,SC,5,2012,21395,9.404066370647348
Osasco,SP,2,98,666469,0.01470435984269336
Osório,RS,1,10,40941,0.02442539263818666
Otacílio Costa,SC,2,0,16348,0.0
Ourilândia Do Norte,PA,1,171,27564,0.6203744013931214
Ouro Verde De Minas,MG,3,4390,6021,72.91147649892045
Pacajá,PA,1,3184,40052,7.949665434934585
Paim Filho,RS,1,3629,4243,85.52910676408202
Palestina Do Pará,PA,1,2685,7487,35.86216107920395
Palhoça,SC,1,10061,137199,7.333143827578918
Palma Sola,SC,2,15,7765,0.19317450096587252
Palmares,PE,1,0,59524,0.0
Palmares Do Sul,RS,1,150,10971,1.3672409078479628
Palmeira,SC,1,446,2376,18.77104377104377
Palmeira Das Missões,RS,2,35035,34335,102.03873598369012
Palmeirândia,MA,1,5136,18766,27.36864542257274
Palmitinho,RS,1,7839,6920,113.28034682080926
Panambi,RS,4,55108,38068,144.7620048334559
Pantano Grande,RS,1,5401,9895,54.58312278928752
Paracambi,RJ,3,5578,47074,11.84942855928963
Paragominas,PA,1,8105,97788,8.288338037387001
Paraibuna,SP,1,3000,17384,17.257248044178557
Paraipaba,CE,2,1500,30041,4.993175992809826
Paranapanema,SP,1,514,17810,2.8860190903986527
Paraí,RS,1,6812,6812,100.0
Paraíso Do Sul,RS,2,13038,7336,177.72628135223556
Pareci Novo,RS,1,1129,3511,32.15608088863572
Parelhas,RN,1,38,20347,0.18675971887747578
Parintins,AM,1,13361,102066,13.090549252444497
Parnamirim,RN,1,1630,202413,0.8052842455771122
Parobé,RS,3,7308,51481,14.195528447388355
Pará De Minas,MG,3,177,84252,0.21008403361344538
Passa Sete,RS,6,21060,5159,408.2186470246172
Passira,PE,1,100,28664,0.3488696622941669
Passo De Torres,SC,1,0,6631,0.0
Passo Do Sobrado,RS,1,2884,6011,47.97870570620529
Passo Fundo,RS,2,2748,184869,1.4864579783522387
Pato Branco,PR,1,568,72373,0.7848230693767012
Pau D`Arco,PA,1,235,6029,3.8978271686846906
Paula Cândido,MG,1,100,9269,1.0788650339842487
Paulo Afonso,BA,1,16222,108419,14.962322102214557
Paulo Bento,RS,1,2196,2196,100.0
Paulo Lopes,SC,1,120,6692,1.7931858936043037
Paverama,RS,1,5097,8047,63.34037529514105
Pavão,MG,1,2812,8589,32.73955058796135
Pedra Bonita,MG,2,74,6673,1.108946500824217
Pedra Dourada,MG,1,0,2187,0.0
Pedra Grande,RN,1,0,3521,0.0
Pedras Altas,RS,1,2061,2218,92.92155094679892
Pedras Grandes,SC,1,136,4107,3.3114195276357434
Pedro Alexandre,BA,1,6075,16995,35.745807590467784
Pedro Avelino,RN,1,0,7168,0.0
Pedro Canário,ES,1,16,23789,0.0672579763756358
Pedro Do Rosário,MA,1,500,22731,2.1996392591614975
Pedro Osório,RS,1,0,7817,0.0
Pedro Velho,RN,1,0,14119,0.0
Pejuçara,RS,4,10543,3973,265.3662219984898
Pelotas,RS,3,105516,327778,32.191300209287995
Pequeri,MG,1,1000,3165,31.595576619273302
Peri Mirim,MA,1,750,13807,5.432027232563192
Petrolina,PE,4,4941,294081,1.6801493466085875
Picada Café,RS,1,5351,5182,103.26128907757624
Picos,PI,1,0,73417,0.0
Pimenta Bueno,RO,1,2,33754,0.005925223677193814
Pindaré-Mirim,MA,1,928,31145,2.9796114946219294
Pinhal,RS,2,5474,2515,217.6540755467197
Pinhal Grande,RS,2,8942,4471,200.0
Pinheirinho Do Vale,RS,1,4523,4503,100.44414834554742
Pinheiro Machado,RS,5,44964,12787,351.6383827324626
Pinheiro Preto,SC,1,15,3147,0.47664442326024786
Pinhão,PR,1,420,30233,1.389210465385506
Pinto Bandeira,RS,2,440,0,inf
Pirapetinga,MG,1,113,10366,1.0901022573798957
Pirapó,RS,1,1200,2757,43.52557127312296
Piratini,RS,3,59047,19831,297.7509959154859
Piraí Do Sul,PR,1,113,23425,0.4823906083244397
Placas,PA,1,5744,23930,24.003343083994984
Planalto,RS,1,10524,10524,100.0
Plácido De Castro,AC,1,4232,17203,24.60036040225542
Ponta De Pedras,PA,1,1720,25989,6.6181846165685485
Pontal Do Paraná,PR,1,1878,20919,8.977484583393087
Ponte Alta,SC,1,0,4895,0.0
Ponte Preta,RS,8,1575,1750,90.0
Ponte Serrada,SC,1,571,11031,5.176321276402865
Pontão,RS,1,5,3857,0.12963443090484833
Poranga,CE,1,0,12003,0.0
